Serial ,Date,User,Tweet
48,2022-10-23 10:43:42+00:00,flyingbeast320,"Indian Fans right now !!
L lag gaye #T20WorldCup2022 https://t.co/SOpNjK07pH"
49,2022-10-23 08:18:18+00:00,flyingbeast320,At the @MCG #INDvPAK https://t.co/fp5tNZJto0
50,2022-10-23 02:26:49+00:00,flyingbeast320,"Bas aaj match shuru hone se pehle mein australia land kar jau… nahi to meri batting reh jayegi…
#INDvPAK #T20worldcup22 https://t.co/gbSaE1YbVL"
51,2022-10-13 13:36:02+00:00,flyingbeast320,"Dear Journalist, please repost this when some people fast for 30 days.
#RespectEveryReligion https://t.co/UfXEja2MZ2"
52,2022-10-11 10:45:29+00:00,flyingbeast320,@vikaas_kumar @ilove_aviation Happened with me once. Was doing Delhi-Chennai.
53,2022-10-08 11:33:00+00:00,flyingbeast320,@NeonMan_01 I thought mera monetization udd gaya..
54,2022-09-26 13:30:44+00:00,flyingbeast320,"@LegalTalwar @VirginAtlantic Humare upar ko rishtedaaro ka karz ho gaya hai,   Tkts karwa karwa ke.."
55,2022-09-26 13:29:42+00:00,flyingbeast320,"App sabhi ko Navratri ki ShubhKaamnaye
जय माता दी 
#HappyNavratri"
56,2022-09-25 05:46:05+00:00,flyingbeast320,"Flying over the Grand Canyons 
#BeastInCockpit https://t.co/PmTzW1BoCD"
57,2022-09-14 23:18:46+00:00,flyingbeast320,"Hi, can someone share this draft please"
58,2022-09-13 10:54:45+00:00,flyingbeast320,"Show stoppers at #NewYorkFashionWeek for Designer #Archanakochhar ‘s ‘Jharokha’ collection.
 @nyfw https://t.co/JtZPWkQTjy"
59,2022-09-08 04:05:30+00:00,flyingbeast320,"Prepping to get back into aviation.
#BeastInCockpit"
60,2022-09-04 18:43:15+00:00,flyingbeast320,https://t.co/tjY5YSidaa
61,2022-09-04 18:40:30+00:00,flyingbeast320,"Koi nahi #SehLengeThoda
#INDvsPAK"
62,2022-09-04 17:56:53+00:00,flyingbeast320,"@ANI Humare tv mein to abhi 2 ball bachi hai ,,"
63,2022-09-04 06:37:36+00:00,flyingbeast320,"Practicing of Hindu Rituals is NOT p0litical pr0paganda .
Dear @livemint . Stop targeting us.

#swaaha https://t.co/yCP0HvCnX9"
64,2022-09-03 11:06:26+00:00,flyingbeast320,"After yesterdays Hearing ..
@livemint be like.. तेरवी पे mint चटनी के साथ गरम समोसे ।
#Swaaha https://t.co/6BZSQ9MRos"
65,2022-09-02 05:25:54+00:00,flyingbeast320,@sharmarekha Happy birthday
66,2022-08-31 15:14:23+00:00,flyingbeast320,Congrats @ARanganathan72
67,2022-08-31 04:47:40+00:00,flyingbeast320,"गणेश चतुर्थी की सभी को हार्दिक शुभकामनाएँ ।
#GaneshaChaturthi"
